RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00450	hns	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00502	rpoS	+	W 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00539	lrp	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00804	rbsA	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00805	rbsB	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00806	rbsC	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00807	rbsD	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00808	rbsK	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00808	rbsK	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00808	rbsK	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00809	rbsR	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC02853	rbsZ	-	S 
RDBECOLIPDC00425	DeaD	deaD	RDBECOLIGNC01227	ldtD	+	W 
RDBECOLIPDC00425	DeaD	deaD	RDBECOLIGNC01227	ldtD	+	W 
RDBECOLIPDC00501	Hfq	hfq	RDBECOLIGNC00559	manX	-	C 
RDBECOLIPDC00501	Hfq	hfq	RDBECOLIGNC01622	hpf	+	W 
RDBECOLIPDC00501	Hfq	hfq	RDBECOLIGNC01623	ptsN	-	W 
